EmployeeID = 442341, namePrefix = 'Mr.', firstName = 'Preston', middleInitial = X, lastName = 'Heatherly', gender = M, email = 'preston.heatherly@gmail.com', dateOfBirth = 1975-11-27, dateOfJoining = 2006-07-13, salary = 54018
EmployeeID = 322896, namePrefix = 'Mr.', firstName = 'Hobert', middleInitial = A, lastName = 'Shell', gender = M, email = 'hobert.shell@gmail.com', dateOfBirth = 1994-08-19, dateOfJoining = 2017-03-26, salary = 82001
EmployeeID = 394816, namePrefix = 'Dr.', firstName = 'Edward', middleInitial = U, lastName = 'Pieper', gender = M, email = 'edward.pieper@gmail.com', dateOfBirth = 1979-03-03, dateOfJoining = 2010-02-21, salary = 112124
EmployeeID = 111498, namePrefix = 'Mrs.', firstName = 'Wan', middleInitial = H, lastName = 'Dickman', gender = F, email = 'wan.dickman@walmart.com', dateOfBirth = 1990-08-11, dateOfJoining = 2016-05-06, salary = 173022
EmployeeID = 927419, namePrefix = 'Mr.', firstName = 'Kennith', middleInitial = E, lastName = 'Slack', gender = M, email = 'kennith.slack@gmail.com', dateOfBirth = 1989-04-13, dateOfJoining = 2016-05-10, salary = 50609
EmployeeID = 806121, namePrefix = 'Prof.', firstName = 'Lyle', middleInitial = F, lastName = 'Getz', gender = M, email = 'lyle.getz@aol.com', dateOfBirth = 1983-01-04, dateOfJoining = 2006-09-06, salary = 71647
EmployeeID = 791266, namePrefix = 'Mrs.', firstName = 'Sidney', middleInitial = I, lastName = 'Baptist', gender = F, email = 'sidney.baptist@yahoo.com', dateOfBirth = 1980-01-13, dateOfJoining = 2002-04-08, salary = 93348
EmployeeID = 653785, namePrefix = 'Mr.', firstName = 'Minh', middleInitial = D, lastName = 'Vinson', gender = M, email = 'minh.vinson@gmail.com', dateOfBirth = 1974-05-28, dateOfJoining = 1997-01-04, salary = 54549
EmployeeID = 638958, namePrefix = 'Mrs.', firstName = 'Louise', middleInitial = B, lastName = 'Sumner', gender = F, email = 'louise.sumner@aol.com', dateOfBirth = 1979-11-07, dateOfJoining = 2008-08-08, salary = 121988
EmployeeID = 285076, namePrefix = 'Mr.', firstName = 'Faustino', middleInitial = N, lastName = 'Crain', gender = M, email = 'faustino.crain@bp.com', dateOfBirth = 1966-01-27, dateOfJoining = 2010-11-15, salary = 84490
EmployeeID = 958500, namePrefix = 'Mr.', firstName = 'Anibal', middleInitial = Y, lastName = 'Schauer', gender = M, email = 'anibal.schauer@verizon.net', dateOfBirth = 1975-10-19, dateOfJoining = 2003-04-17, salary = 78099
EmployeeID = 185069, namePrefix = 'Hon.', firstName = 'Leonila', middleInitial = G, lastName = 'Heflin', gender = F, email = 'leonila.heflin@charter.net', dateOfBirth = 1962-03-01, dateOfJoining = 1999-11-19, salary = 121059
EmployeeID = 719321, namePrefix = 'Mrs.', firstName = 'Lindsy', middleInitial = Y, lastName = 'Legere', gender = F, email = 'lindsy.legere@yahoo.com', dateOfBirth = 1978-05-04, dateOfJoining = 2009-05-19, salary = 55984
EmployeeID = 127882, namePrefix = 'Mr.', firstName = 'Zachary', middleInitial = X, lastName = 'Wilmot', gender = M, email = 'zachary.wilmot@btinternet.com', dateOfBirth = 1972-10-04, dateOfJoining = 2001-01-03, salary = 176713
EmployeeID = 624179, namePrefix = 'Mrs.', firstName = 'Ashely', middleInitial = Z, lastName = 'Rembert', gender = F, email = 'ashely.rembert@gmail.com', dateOfBirth = 1982-02-21, dateOfJoining = 2010-02-27, salary = 196515
EmployeeID = 724194, namePrefix = 'Mr.', firstName = 'Antone', middleInitial = D, lastName = 'Corn', gender = M, email = 'antone.corn@btinternet.com', dateOfBirth = 1974-12-13, dateOfJoining = 2015-06-24, salary = 62115
EmployeeID = 452285, namePrefix = 'Mr.', firstName = 'Edwardo', middleInitial = R, lastName = 'Miller', gender = M, email = 'edwardo.miller@gmail.com', dateOfBirth = 1988-12-05, dateOfJoining = 2011-05-19, salary = 130144
EmployeeID = 863556, namePrefix = 'Hon.', firstName = 'Milda', middleInitial = Q, lastName = 'Krumm', gender = F, email = 'milda.krumm@gmail.com', dateOfBirth = 1974-03-24, dateOfJoining = 2016-06-21, salary = 199525
EmployeeID = 221236, namePrefix = 'Mr.', firstName = 'Jefferson', middleInitial = L, lastName = 'Ashby', gender = M, email = 'jefferson.ashby@hotmail.com', dateOfBirth = 1991-04-20, dateOfJoining = 2016-07-17, salary = 151778
EmployeeID = 465297, namePrefix = 'Dr.', firstName = 'Nickolas', middleInitial = G, lastName = 'Sloan', gender = M, email = 'nickolas.sloan@gmail.com', dateOfBirth = 1991-12-20, dateOfJoining = 2015-05-27, salary = 85142
EmployeeID = 311266, namePrefix = 'Mrs.', firstName = 'Merrie', middleInitial = O, lastName = 'Durfee', gender = F, email = 'merrie.durfee@hotmail.com', dateOfBirth = 1974-02-12, dateOfJoining = 1996-11-25, salary = 138560
EmployeeID = 457173, namePrefix = 'Mr.', firstName = 'Chris', middleInitial = S, lastName = 'Hand', gender = M, email = 'chris.hand@sbcglobal.net', dateOfBirth = 1959-09-23, dateOfJoining = 1981-04-13, salary = 119882
EmployeeID = 789729, namePrefix = 'Ms.', firstName = 'Hollis', middleInitial = T, lastName = 'Pardue', gender = F, email = 'hollis.pardue@apple.com', dateOfBirth = 1972-06-18, dateOfJoining = 2007-10-20, salary = 65044
EmployeeID = 791268, namePrefix = 'Mr.', firstName = 'Wilbert', middleInitial = B, lastName = 'Reed', gender = M, email = 'wilbert.reed@aol.com', dateOfBirth = 1990-08-14, dateOfJoining = 2011-09-30, salary = 96298
EmployeeID = 634184, namePrefix = 'Ms.', firstName = 'Amal', middleInitial = U, lastName = 'Leech', gender = F, email = 'amal.leech@yahoo.com', dateOfBirth = 1962-04-02, dateOfJoining = 2012-01-13, salary = 100386
EmployeeID = 476732, namePrefix = 'Hon.', firstName = 'Jeffry', middleInitial = M, lastName = 'Mccrary', gender = M, email = 'jeffry.mccrary@hotmail.com', dateOfBirth = 1974-03-28, dateOfJoining = 2009-03-05, salary = 143949
EmployeeID = 963461, namePrefix = 'Mr.', firstName = 'Taylor', middleInitial = I, lastName = 'Mcgraw', gender = M, email = 'taylor.mcgraw@sbcglobal.net', dateOfBirth = 1979-02-06, dateOfJoining = 2000-03-05, salary = 104382
EmployeeID = 566966, namePrefix = 'Drs.', firstName = 'Vernita', middleInitial = E, lastName = 'Elston', gender = F, email = 'vernita.elston@hotmail.com', dateOfBirth = 1969-09-10, dateOfJoining = 2002-08-29, salary = 163453
EmployeeID = 188467, namePrefix = 'Ms.', firstName = 'Jeanelle', middleInitial = C, lastName = 'Songer', gender = F, email = 'jeanelle.songer@ibm.com', dateOfBirth = 1973-07-18, dateOfJoining = 2008-04-14, salary = 135509
EmployeeID = 342488, namePrefix = 'Hon.', firstName = 'Pasquale', middleInitial = B, lastName = 'Munson', gender = M, email = 'pasquale.munson@microsoft.com', dateOfBirth = 1993-07-26, dateOfJoining = 2015-06-12, salary = 48076
EmployeeID = 717698, namePrefix = 'Mr.', firstName = 'Marcel', middleInitial = R, lastName = 'Galbreath', gender = M, email = 'marcel.galbreath@bellsouth.net', dateOfBirth = 1971-03-05, dateOfJoining = 2015-07-24, salary = 152704
EmployeeID = 257363, namePrefix = 'Ms.', firstName = 'Concha', middleInitial = Z, lastName = 'Larkins', gender = F, email = 'concha.larkins@aol.com', dateOfBirth = 1968-03-15, dateOfJoining = 2002-04-05, salary = 123506
EmployeeID = 447210, namePrefix = 'Ms.', firstName = 'Evelyne', middleInitial = T, lastName = 'Dumas', gender = F, email = 'evelyne.dumas@gmail.com', dateOfBirth = 1991-05-02, dateOfJoining = 2013-02-21, salary = 63137
EmployeeID = 190141, namePrefix = 'Mr.', firstName = 'Gail', middleInitial = D, lastName = 'Urbina', gender = M, email = 'gail.urbina@ntlworld.com', dateOfBirth = 1983-11-21, dateOfJoining = 2010-12-08, salary = 108085
EmployeeID = 214592, namePrefix = 'Dr.', firstName = 'Winston', middleInitial = Y, lastName = 'Repp', gender = M, email = 'winston.repp@sbcglobal.net', dateOfBirth = 1971-06-10, dateOfJoining = 2000-04-29, salary = 132233
EmployeeID = 383390, namePrefix = 'Mr.', firstName = 'Hong', middleInitial = E, lastName = 'Muth', gender = M, email = 'hong.muth@hotmail.com', dateOfBirth = 1962-06-09, dateOfJoining = 2009-06-30, salary = 118437
EmployeeID = 740582, namePrefix = 'Mrs.', firstName = 'Eladia', middleInitial = E, lastName = 'Derby', gender = F, email = 'eladia.derby@bellsouth.net', dateOfBirth = 1979-09-10, dateOfJoining = 2010-05-11, salary = 122077
EmployeeID = 901097, namePrefix = 'Mr.', firstName = 'Minh', middleInitial = L, lastName = 'Bowie', gender = M, email = 'minh.bowie@yahoo.ca', dateOfBirth = 1988-05-16, dateOfJoining = 2010-03-24, salary = 175189
EmployeeID = 761914, namePrefix = 'Mrs.', firstName = 'Yoko', middleInitial = L, lastName = 'Romine', gender = F, email = 'yoko.romine@msn.com', dateOfBirth = 1967-12-22, dateOfJoining = 2003-08-06, salary = 67703
EmployeeID = 195031, namePrefix = 'Mrs.', firstName = 'Lesha', middleInitial = F, lastName = 'Swann', gender = F, email = 'lesha.swann@gmail.com', dateOfBirth = 1992-11-01, dateOfJoining = 2016-05-14, salary = 177804
EmployeeID = 616138, namePrefix = 'Mr.', firstName = 'Kory', middleInitial = I, lastName = 'Hazard', gender = M, email = 'kory.hazard@shell.com', dateOfBirth = 1969-08-07, dateOfJoining = 2007-09-18, salary = 164033
EmployeeID = 412906, namePrefix = 'Ms.', firstName = 'Marya', middleInitial = S, lastName = 'Lilley', gender = F, email = 'marya.lilley@gmail.com', dateOfBirth = 1985-12-04, dateOfJoining = 2014-08-24, salary = 190400
EmployeeID = 603014, namePrefix = 'Hon.', firstName = 'Chad', middleInitial = I, lastName = 'Parish', gender = M, email = 'chad.parish@hotmail.com', dateOfBirth = 1977-07-04, dateOfJoining = 2008-04-14, salary = 157930
EmployeeID = 868326, namePrefix = 'Ms.', firstName = 'Charlyn', middleInitial = D, lastName = 'Peach', gender = F, email = 'charlyn.peach@gmail.com', dateOfBirth = 1977-02-27, dateOfJoining = 2014-06-07, salary = 138196
EmployeeID = 443962, namePrefix = 'Mrs.', firstName = 'Lynsey', middleInitial = O, lastName = 'Perrine', gender = F, email = 'lynsey.perrine@gmail.com', dateOfBirth = 1970-10-05, dateOfJoining = 2009-02-04, salary = 83245
EmployeeID = 126289, namePrefix = 'Dr.', firstName = 'Gary', middleInitial = G, lastName = 'Bonham', gender = M, email = 'gary.bonham@gmail.com', dateOfBirth = 1971-09-06, dateOfJoining = 2007-05-21, salary = 111748
EmployeeID = 135923, namePrefix = 'Ms.', firstName = 'Vernon', middleInitial = P, lastName = 'Barrick', gender = F, email = 'vernon.barrick@aol.com', dateOfBirth = 1957-11-16, dateOfJoining = 2010-02-26, salary = 158824
EmployeeID = 203162, namePrefix = 'Mr.', firstName = 'Mary', middleInitial = R, lastName = 'Bill', gender = M, email = 'mary.bill@aol.com', dateOfBirth = 1962-04-22, dateOfJoining = 1991-06-19, salary = 64501
EmployeeID = 909369, namePrefix = 'Mr.', firstName = 'Ali', middleInitial = E, lastName = 'Waldo', gender = M, email = 'ali.waldo@gmail.com', dateOfBirth = 1958-09-23, dateOfJoining = 1993-08-13, salary = 49099
EmployeeID = 834011, namePrefix = 'Mr.', firstName = 'Chas', middleInitial = O, lastName = 'Hemingway', gender = M, email = 'chas.hemingway@gmail.com', dateOfBirth = 1968-05-08, dateOfJoining = 1999-12-04, salary = 118865
EmployeeID = 673355, namePrefix = 'Mr.', firstName = 'Maurice', middleInitial = M, lastName = 'Stutz', gender = M, email = 'maurice.stutz@exxonmobil.com', dateOfBirth = 1988-06-17, dateOfJoining = 2009-10-14, salary = 124468
EmployeeID = 393200, namePrefix = 'Ms.', firstName = 'Fatima', middleInitial = M, lastName = 'Salvador', gender = F, email = 'fatima.salvador@gmail.com', dateOfBirth = 1991-02-11, dateOfJoining = 2012-12-02, salary = 170271
EmployeeID = 927439, namePrefix = 'Drs.', firstName = 'Wendy', middleInitial = C, lastName = 'Hansel', gender = F, email = 'wendy.hansel@gmail.com', dateOfBirth = 1994-06-24, dateOfJoining = 2017-05-09, salary = 194178
EmployeeID = 352307, namePrefix = 'Ms.', firstName = 'Rosio', middleInitial = A, lastName = 'Burke', gender = F, email = 'rosio.burke@gmail.com', dateOfBirth = 1973-02-16, dateOfJoining = 2010-02-22, salary = 74667
EmployeeID = 643833, namePrefix = 'Mr.', firstName = 'Alfred', middleInitial = J, lastName = 'Faught', gender = M, email = 'alfred.faught@gmail.com', dateOfBirth = 1980-07-17, dateOfJoining = 2004-02-29, salary = 107357
EmployeeID = 453971, namePrefix = 'Ms.', firstName = 'Latasha', middleInitial = L, lastName = 'Monzon', gender = F, email = 'latasha.monzon@bp.com', dateOfBirth = 1967-01-02, dateOfJoining = 2004-02-01, salary = 107088
EmployeeID = 429303, namePrefix = 'Mr.', firstName = 'Johnnie', middleInitial = D, lastName = 'Welter', gender = M, email = 'johnnie.welter@gmail.com', dateOfBirth = 1963-10-19, dateOfJoining = 2006-04-16, salary = 97716
EmployeeID = 308106, namePrefix = 'Ms.', firstName = 'Blanca', middleInitial = M, lastName = 'Enciso', gender = F, email = 'blanca.enciso@gmail.com', dateOfBirth = 1971-05-08, dateOfJoining = 1993-11-16, salary = 119563
EmployeeID = 186783, namePrefix = 'Ms.', firstName = 'Khalilah', middleInitial = X, lastName = 'Blackman', gender = F, email = 'khalilah.blackman@yahoo.ca', dateOfBirth = 1971-10-21, dateOfJoining = 2007-10-19, salary = 42998
EmployeeID = 276960, namePrefix = 'Dr.', firstName = 'Zachery', middleInitial = H, lastName = 'Herbert', gender = M, email = 'zachery.herbert@gmail.com', dateOfBirth = 1975-04-05, dateOfJoining = 2015-12-15, salary = 67326
EmployeeID = 837199, namePrefix = 'Prof.', firstName = 'Emerson', middleInitial = C, lastName = 'Lawler', gender = M, email = 'emerson.lawler@gmail.com', dateOfBirth = 1982-05-13, dateOfJoining = 2016-10-13, salary = 47309
EmployeeID = 663606, namePrefix = 'Mr.', firstName = 'Erasmo', middleInitial = H, lastName = 'Maki', gender = M, email = 'erasmo.maki@exxonmobil.com', dateOfBirth = 1996-03-04, dateOfJoining = 2017-04-09, salary = 119637
EmployeeID = 524260, namePrefix = 'Mr.', firstName = 'Oren', middleInitial = D, lastName = 'Mojica', gender = M, email = 'oren.mojica@gmail.com', dateOfBirth = 1986-10-07, dateOfJoining = 2017-05-12, salary = 111010
EmployeeID = 370374, namePrefix = 'Mr.', firstName = 'Rickey', middleInitial = T, lastName = 'Peer', gender = M, email = 'rickey.peer@yahoo.com', dateOfBirth = 1981-06-24, dateOfJoining = 2013-08-08, salary = 181250
EmployeeID = 594684, namePrefix = 'Mr.', firstName = 'Hipolito', middleInitial = I, lastName = 'Mccrary', gender = M, email = 'hipolito.mccrary@bp.com', dateOfBirth = 1966-01-01, dateOfJoining = 1988-08-22, salary = 88852
EmployeeID = 235934, namePrefix = 'Mrs.', firstName = 'Carolina', middleInitial = F, lastName = 'Ritter', gender = F, email = 'carolina.ritter@hotmail.com', dateOfBirth = 1964-02-10, dateOfJoining = 1986-01-13, salary = 119268
EmployeeID = 322899, namePrefix = 'Mr.', firstName = 'Sheldon', middleInitial = Q, lastName = 'Sedillo', gender = M, email = 'sheldon.sedillo@bellsouth.net', dateOfBirth = 1969-01-23, dateOfJoining = 2012-01-18, salary = 166425
EmployeeID = 242580, namePrefix = 'Mr.', firstName = 'Peter', middleInitial = N, lastName = 'Duprey', gender = M, email = 'peter.duprey@aol.com', dateOfBirth = 1990-03-27, dateOfJoining = 2013-11-07, salary = 41020
EmployeeID = 347381, namePrefix = 'Mrs.', firstName = 'Justa', middleInitial = L, lastName = 'Joy', gender = F, email = 'justa.joy@hotmail.com', dateOfBirth = 1995-01-26, dateOfJoining = 2017-03-12, salary = 74816
EmployeeID = 391647, namePrefix = 'Mr.', firstName = 'Denny', middleInitial = O, lastName = 'Hibbler', gender = M, email = 'denny.hibbler@hotmail.com', dateOfBirth = 1989-04-13, dateOfJoining = 2011-05-20, salary = 63555
EmployeeID = 525900, namePrefix = 'Mr.', firstName = 'Seth', middleInitial = B, lastName = 'Dill', gender = M, email = 'seth.dill@yahoo.ca', dateOfBirth = 1970-07-17, dateOfJoining = 2007-09-08, salary = 180114
EmployeeID = 571860, namePrefix = 'Mr.', firstName = 'Ulysses', middleInitial = J, lastName = 'Breton', gender = M, email = 'ulysses.breton@hotmail.co.uk', dateOfBirth = 1993-09-27, dateOfJoining = 2017-01-03, salary = 52410
EmployeeID = 811060, namePrefix = 'Ms.', firstName = 'Bettye', middleInitial = L, lastName = 'Tyson', gender = F, email = 'bettye.tyson@apple.com', dateOfBirth = 1968-12-20, dateOfJoining = 2009-11-02, salary = 56598
EmployeeID = 824057, namePrefix = 'Mr.', firstName = 'Alfonso', middleInitial = U, lastName = 'Sams', gender = M, email = 'alfonso.sams@gmail.com', dateOfBirth = 1974-03-22, dateOfJoining = 2000-11-23, salary = 91692
EmployeeID = 403140, namePrefix = 'Drs.', firstName = 'Joetta', middleInitial = Q, lastName = 'Holbrook', gender = F, email = 'joetta.holbrook@gmail.com', dateOfBirth = 1984-09-21, dateOfJoining = 2011-11-16, salary = 121982
EmployeeID = 858542, namePrefix = 'Dr.', firstName = 'Casey', middleInitial = K, lastName = 'Gilley', gender = M, email = 'casey.gilley@bellsouth.net', dateOfBirth = 1986-01-10, dateOfJoining = 2014-05-20, salary = 183964
EmployeeID = 491500, namePrefix = 'Mr.', firstName = 'Boyd', middleInitial = N, lastName = 'Smiley', gender = M, email = 'boyd.smiley@hotmail.com', dateOfBirth = 1994-07-05, dateOfJoining = 2017-07-11, salary = 128756
EmployeeID = 527611, namePrefix = 'Mr.', firstName = 'Rickie', middleInitial = H, lastName = 'Sandusky', gender = M, email = 'rickie.sandusky@exxonmobil.com', dateOfBirth = 1969-12-25, dateOfJoining = 2001-03-15, salary = 85773
EmployeeID = 177043, namePrefix = 'Mr.', firstName = 'Luther', middleInitial = N, lastName = 'Metts', gender = M, email = 'luther.metts@btinternet.com', dateOfBirth = 1980-01-02, dateOfJoining = 2016-01-21, salary = 131441
EmployeeID = 945497, namePrefix = 'Ms.', firstName = 'Bernice', middleInitial = L, lastName = 'Pearce', gender = F, email = 'bernice.pearce@aol.com', dateOfBirth = 1973-12-13, dateOfJoining = 1999-02-05, salary = 93414
EmployeeID = 853579, namePrefix = 'Ms.', firstName = 'Modesta', middleInitial = W, lastName = 'Haight', gender = F, email = 'modesta.haight@shell.com', dateOfBirth = 1963-01-27, dateOfJoining = 2002-11-08, salary = 108803
EmployeeID = 342490, namePrefix = 'Hon.', firstName = 'Hans', middleInitial = V, lastName = 'Firth', gender = M, email = 'hans.firth@aol.com', dateOfBirth = 1973-06-09, dateOfJoining = 2010-11-06, salary = 160655
EmployeeID = 414451, namePrefix = 'Mr.', firstName = 'Donnie', middleInitial = A, lastName = 'Deas', gender = M, email = 'donnie.deas@btinternet.com', dateOfBirth = 1988-04-19, dateOfJoining = 2015-10-30, salary = 111986
EmployeeID = 629165, namePrefix = 'Mr.', firstName = 'Alan', middleInitial = E, lastName = 'Anson', gender = M, email = 'alan.anson@hotmail.com', dateOfBirth = 1967-12-28, dateOfJoining = 1997-12-25, salary = 138184
EmployeeID = 340885, namePrefix = 'Hon.', firstName = 'Fonda', middleInitial = U, lastName = 'Arnold', gender = F, email = 'fonda.arnold@ntlworld.com', dateOfBirth = 1974-11-17, dateOfJoining = 2007-11-02, salary = 187622
EmployeeID = 585055, namePrefix = 'Ms.', firstName = 'Romana', middleInitial = Y, lastName = 'Wylie', gender = F, email = 'romana.wylie@shaw.ca', dateOfBirth = 1961-03-26, dateOfJoining = 2009-07-22, salary = 192852
EmployeeID = 656963, namePrefix = 'Drs.', firstName = 'Annetta', middleInitial = A, lastName = 'Leggett', gender = F, email = 'annetta.leggett@gmail.com', dateOfBirth = 1994-07-14, dateOfJoining = 2016-09-17, salary = 117865
EmployeeID = 583375, namePrefix = 'Dr.', firstName = 'Forest', middleInitial = O, lastName = 'Chewning', gender = M, email = 'forest.chewning@charter.net', dateOfBirth = 1959-01-12, dateOfJoining = 2014-11-23, salary = 42539
EmployeeID = 827471, namePrefix = 'Mr.', firstName = 'Kent', middleInitial = P, lastName = 'Barragan', gender = M, email = 'kent.barragan@gmail.com', dateOfBirth = 1971-10-04, dateOfJoining = 2004-06-21, salary = 98635
EmployeeID = 969981, namePrefix = 'Ms.', firstName = 'Edie', middleInitial = R, lastName = 'Tullis', gender = F, email = 'edie.tullis@sbcglobal.net', dateOfBirth = 1992-06-30, dateOfJoining = 2014-07-04, salary = 178086
EmployeeID = 983011, namePrefix = 'Ms.', firstName = 'Berniece', middleInitial = H, lastName = 'Carmody', gender = F, email = 'berniece.carmody@hotmail.com', dateOfBirth = 1970-01-08, dateOfJoining = 2008-08-03, salary = 195177
EmployeeID = 440795, namePrefix = 'Mr.', firstName = 'Wally', middleInitial = C, lastName = 'Denis', gender = M, email = 'wally.denis@ntlworld.com', dateOfBirth = 1975-08-16, dateOfJoining = 2006-07-10, salary = 147256
EmployeeID = 996254, namePrefix = 'Mr.', firstName = 'Walker', middleInitial = M, lastName = 'Higgins', gender = M, email = 'walker.higgins@aol.com', dateOfBirth = 1964-08-09, dateOfJoining = 1985-11-20, salary = 156047
EmployeeID = 869958, namePrefix = 'Mrs.', firstName = 'Vergie', middleInitial = Z, lastName = 'Depriest', gender = F, email = 'vergie.depriest@gmail.com', dateOfBirth = 1977-06-09, dateOfJoining = 2006-03-21, salary = 116976
EmployeeID = 884705, namePrefix = 'Mr.', firstName = 'Freeman', middleInitial = M, lastName = 'Treece', gender = M, email = 'freeman.treece@yahoo.co.uk', dateOfBirth = 1983-03-04, dateOfJoining = 2012-09-02, salary = 113771
EmployeeID = 648898, namePrefix = 'Hon.', firstName = 'Claud', middleInitial = H, lastName = 'Burney', gender = M, email = 'claud.burney@hotmail.com', dateOfBirth = 1959-06-17, dateOfJoining = 1990-05-18, salary = 132957
EmployeeID = 463602, namePrefix = 'Mr.', firstName = 'Willie', middleInitial = N, lastName = 'Sanderlin', gender = M, email = 'willie.sanderlin@hotmail.com', dateOfBirth = 1970-12-11, dateOfJoining = 1998-12-24, salary = 56409
EmployeeID = 973225, namePrefix = 'Mr.', firstName = 'Noah', middleInitial = Q, lastName = 'Delvalle', gender = M, email = 'noah.delvalle@bellsouth.net', dateOfBirth = 1967-01-16, dateOfJoining = 2000-06-08, salary = 60222
EmployeeID = 719337, namePrefix = 'Mrs.', firstName = 'Ammie', middleInitial = E, lastName = 'Sevigny', gender = F, email = 'ammie.sevigny@yahoo.com', dateOfBirth = 1965-06-24, dateOfJoining = 1989-01-08, salary = 175880
EmployeeID = 712784, namePrefix = 'Mr.', firstName = 'Clarence', middleInitial = H, lastName = 'Cotten', gender = M, email = 'clarence.cotten@gmail.com', dateOfBirth = 1989-02-11, dateOfJoining = 2015-06-10, salary = 192767
EmployeeID = 879963, namePrefix = 'Ms.', firstName = 'Carroll', middleInitial = E, lastName = 'Carlile', gender = F, email = 'carroll.carlile@gmail.com', dateOfBirth = 1996-02-06, dateOfJoining = 2017-07-08, salary = 117146
EmployeeID = 177048, namePrefix = 'Mrs.', firstName = 'Aisha', middleInitial = X, lastName = 'Ammons', gender = F, email = 'aisha.ammons@charter.net', dateOfBirth = 1964-08-19, dateOfJoining = 2002-08-06, salary = 168444
EmployeeID = 314615, namePrefix = 'Mr.', firstName = 'Alejandro', middleInitial = P, lastName = 'Kepler', gender = M, email = 'alejandro.kepler@hotmail.co.uk', dateOfBirth = 1972-09-04, dateOfJoining = 2009-03-23, salary = 134084
EmployeeID = 443984, namePrefix = 'Ms.', firstName = 'Denita', middleInitial = C, lastName = 'Tims', gender = F, email = 'denita.tims@gmail.com', dateOfBirth = 1976-11-09, dateOfJoining = 2003-10-25, salary = 60876
EmployeeID = 850415, namePrefix = 'Mrs.', firstName = 'Dennis', middleInitial = S, lastName = 'Fenner', gender = F, email = 'dennis.fenner@sbcglobal.net', dateOfBirth = 1981-12-07, dateOfJoining = 2014-11-04, salary = 180206
EmployeeID = 485071, namePrefix = 'Mr.', firstName = 'Omar', middleInitial = U, lastName = 'Woodham', gender = M, email = 'omar.woodham@gmail.com', dateOfBirth = 1960-03-03, dateOfJoining = 1982-02-01, salary = 91485
EmployeeID = 163824, namePrefix = 'Mrs.', firstName = 'Berneice', middleInitial = M, lastName = 'Puckett', gender = F, email = 'berneice.puckett@hotmail.com', dateOfBirth = 1980-08-26, dateOfJoining = 2014-05-27, salary = 142264
